House_Rep_Name,House_Rep_Party,House_Rep_State,House_Rep_Vote,RepYeaPct,RepNayPct,DemYeaPct,DemNayPct
Golden (ME),D,ME,Nay,96.8,0.5,0.5,96.3
Goldman (NY),D,NY,Nay,96.8,0.5,0.5,96.3
Goldman (TX),R,TX,Yea,96.8,0.5,0.5,96.3
Gomez,D,CA,Not Voting,96.8,0.5,0.5,96.3
"Gonzales, Tony",R,TX,Yea,96.8,0.5,0.5,96.3
"Gonzalez, V.",D,TX,Nay,96.8,0.5,0.5,96.3
Gooden,R,TX,Yea,96.8,0.5,0.5,96.3
Goodlander,D,NH,Nay,96.8,0.5,0.5,96.3
Gosar,R,AZ,Yea,96.8,0.5,0.5,96.3
Gottheimer,D,NJ,Not Voting,96.8,0.5,0.5,96.3
Graves,R,MO,Yea,96.8,0.5,0.5,96.3
Gray,D,CA,Nay,96.8,0.5,0.5,96.3
Green (TN),R,TN,Yea,96.8,0.5,0.5,96.3
"Green, Al (TX)",D,TX,Nay,96.8,0.5,0.5,96.3
Greene (GA),R,GA,Yea,96.8,0.5,0.5,96.3
Griffith,R,VA,Yea,96.8,0.5,0.5,96.3
Grijalva,D,AZ,Not Voting,96.8,0.5,0.5,96.3
Grothman,R,WI,Yea,96.8,0.5,0.5,96.3
Guest,R,MS,Yea,96.8,0.5,0.5,96.3
Guthrie,R,KY,Yea,96.8,0.5,0.5,96.3
Hageman,R,WY,Yea,96.8,0.5,0.5,96.3
Hamadeh (AZ),R,AZ,Yea,96.8,0.5,0.5,96.3
Harder (CA),D,CA,Nay,96.8,0.5,0.5,96.3
Haridopolos,R,FL,Yea,96.8,0.5,0.5,96.3
Harrigan,R,NC,Yea,96.8,0.5,0.5,96.3
Harris (MD),R,MD,Yea,96.8,0.5,0.5,96.3
Harris (NC),R,NC,Yea,96.8,0.5,0.5,96.3
Harshbarger,R,TN,Yea,96.8,0.5,0.5,96.3
Hayes,D,CT,Nay,96.8,0.5,0.5,96.3
Hern (OK),R,OK,Yea,96.8,0.5,0.5,96.3
Higgins (LA),R,LA,Yea,96.8,0.5,0.5,96.3
Hill (AR),R,AR,Yea,96.8,0.5,0.5,96.3
Himes,D,CT,Nay,96.8,0.5,0.5,96.3
Hinson,R,IA,Yea,96.8,0.5,0.5,96.3
Horsford,D,NV,Nay,96.8,0.5,0.5,96.3
Houchin,R,IN,Yea,96.8,0.5,0.5,96.3
Houlahan,D,PA,Nay,96.8,0.5,0.5,96.3
Hoyer,D,MD,Nay,96.8,0.5,0.5,96.3
Hoyle (OR),D,OR,Nay,96.8,0.5,0.5,96.3
Hudson,R,NC,Yea,96.8,0.5,0.5,96.3
Huffman,D,CA,Nay,96.8,0.5,0.5,96.3
Huizenga,R,MI,Yea,96.8,0.5,0.5,96.3
Hunt,R,TX,Yea,96.8,0.5,0.5,96.3
Hurd (CO),R,CO,Yea,96.8,0.5,0.5,96.3
Issa,R,CA,Yea,96.8,0.5,0.5,96.3
Ivey,D,MD,Nay,96.8,0.5,0.5,96.3
Jack,R,GA,Yea,96.8,0.5,0.5,96.3
Jackson (IL),D,IL,Nay,96.8,0.5,0.5,96.3
Jackson (TX),R,TX,Yea,96.8,0.5,0.5,96.3
Jacobs,D,CA,Nay,96.8,0.5,0.5,96.3
James,R,MI,Yea,96.8,0.5,0.5,96.3
Jayapal,D,WA,Nay,96.8,0.5,0.5,96.3
Jeffries,D,NY,Nay,96.8,0.5,0.5,96.3
Johnson (GA),D,GA,Nay,96.8,0.5,0.5,96.3
Johnson (LA),R,LA,Yea,96.8,0.5,0.5,96.3
Johnson (SD),R,SD,Yea,96.8,0.5,0.5,96.3
Johnson (TX),D,TX,Nay,96.8,0.5,0.5,96.3
Jordan,R,OH,Yea,96.8,0.5,0.5,96.3
Joyce (OH),R,OH,Yea,96.8,0.5,0.5,96.3
Joyce (PA),R,PA,Yea,96.8,0.5,0.5,96.3
Kamlager-Dove,D,CA,Nay,96.8,0.5,0.5,96.3
Kaptur,D,OH,Nay,96.8,0.5,0.5,96.3
Kean,R,NJ,Yea,96.8,0.5,0.5,96.3
Keating,D,MA,Nay,96.8,0.5,0.5,96.3
Kelly (IL),D,IL,Nay,96.8,0.5,0.5,96.3
Kelly (MS),R,MS,Yea,96.8,0.5,0.5,96.3
Kelly (PA),R,PA,Not Voting,96.8,0.5,0.5,96.3
Kennedy (NY),D,NY,Nay,96.8,0.5,0.5,96.3
Kennedy (UT),R,UT,Yea,96.8,0.5,0.5,96.3
Khanna,D,CA,Nay,96.8,0.5,0.5,96.3
Kiggans (VA),R,VA,Yea,96.8,0.5,0.5,96.3
Kiley (CA),R,CA,Yea,96.8,0.5,0.5,96.3
Kim,R,CA,Yea,96.8,0.5,0.5,96.3
Knott,R,NC,Yea,96.8,0.5,0.5,96.3
Krishnamoorthi,D,IL,Nay,96.8,0.5,0.5,96.3
Kustoff,R,TN,Yea,96.8,0.5,0.5,96.3
LaHood,R,IL,Yea,96.8,0.5,0.5,96.3
LaLota,R,NY,Yea,96.8,0.5,0.5,96.3
LaMalfa,R,CA,Yea,96.8,0.5,0.5,96.3
Landsman,D,OH,Nay,96.8,0.5,0.5,96.3
Langworthy,R,NY,Yea,96.8,0.5,0.5,96.3
Larsen (WA),D,WA,Nay,96.8,0.5,0.5,96.3
Larson (CT),D,CT,Nay,96.8,0.5,0.5,96.3
Latimer,D,NY,Nay,96.8,0.5,0.5,96.3
Latta,R,OH,Yea,96.8,0.5,0.5,96.3
Lawler,R,NY,Yea,96.8,0.5,0.5,96.3
Lee (FL),R,FL,Yea,96.8,0.5,0.5,96.3
Lee (NV),D,NV,Nay,96.8,0.5,0.5,96.3
Lee (PA),D,PA,Nay,96.8,0.5,0.5,96.3
Leger Fernandez,D,NM,Not Voting,96.8,0.5,0.5,96.3
Letlow,R,LA,Yea,96.8,0.5,0.5,96.3
Levin,D,CA,Nay,96.8,0.5,0.5,96.3
Liccardo,D,CA,Nay,96.8,0.5,0.5,96.3
Lieu,D,CA,Nay,96.8,0.5,0.5,96.3
Lofgren,D,CA,Nay,96.8,0.5,0.5,96.3
Loudermilk,R,GA,Yea,96.8,0.5,0.5,96.3
Lucas,R,OK,Yea,96.8,0.5,0.5,96.3
Luna,R,FL,Not Voting,96.8,0.5,0.5,96.3
Luttrell,R,TX,Yea,96.8,0.5,0.5,96.3
Lynch,D,MA,Nay,96.8,0.5,0.5,96.3
Mace,R,SC,Yea,96.8,0.5,0.5,96.3
Mackenzie,R,PA,Yea,96.8,0.5,0.5,96.3
Magaziner,D,RI,Nay,96.8,0.5,0.5,96.3
Malliotakis,R,NY,Yea,96.8,0.5,0.5,96.3
Maloy,R,UT,Yea,96.8,0.5,0.5,96.3
Mann,R,KS,Yea,96.8,0.5,0.5,96.3
Mannion,D,NY,Nay,96.8,0.5,0.5,96.3
Massie,R,KY,Yea,96.8,0.5,0.5,96.3
Mast,R,FL,Yea,96.8,0.5,0.5,96.3
Matsui,D,CA,Nay,96.8,0.5,0.5,96.3
McBath,D,GA,Nay,96.8,0.5,0.5,96.3
McBride,D,DE,Nay,96.8,0.5,0.5,96.3
McCaul,R,TX,Yea,96.8,0.5,0.5,96.3
McClain,R,MI,Yea,96.8,0.5,0.5,96.3
McClain Delaney,D,MD,Nay,96.8,0.5,0.5,96.3
McClellan,D,VA,Nay,96.8,0.5,0.5,96.3
McClintock,R,CA,Yea,96.8,0.5,0.5,96.3
McCollum,D,MN,Nay,96.8,0.5,0.5,96.3
McCormick,R,GA,Yea,96.8,0.5,0.5,96.3
McDonald Rivet,D,MI,Nay,96.8,0.5,0.5,96.3
McDowell,R,NC,Yea,96.8,0.5,0.5,96.3
McGarvey,D,KY,Nay,96.8,0.5,0.5,96.3
McGovern,D,MA,Nay,96.8,0.5,0.5,96.3
McGuire,R,VA,Yea,96.8,0.5,0.5,96.3
McIver,D,NJ,Nay,96.8,0.5,0.5,96.3
Meeks,D,NY,Nay,96.8,0.5,0.5,96.3
Menendez,D,NJ,Nay,96.8,0.5,0.5,96.3
Meng,D,NY,Nay,96.8,0.5,0.5,96.3
Messmer,R,IN,Yea,96.8,0.5,0.5,96.3
Meuser,R,PA,Yea,96.8,0.5,0.5,96.3
Mfume,D,MD,Nay,96.8,0.5,0.5,96.3
Miller (IL),R,IL,Yea,96.8,0.5,0.5,96.3
Miller (OH),R,OH,Yea,96.8,0.5,0.5,96.3
Miller (WV),R,WV,Yea,96.8,0.5,0.5,96.3
Miller-Meeks,R,IA,Yea,96.8,0.5,0.5,96.3
Mills,R,FL,Yea,96.8,0.5,0.5,96.3
Min,D,CA,Nay,96.8,0.5,0.5,96.3
Moolenaar,R,MI,Yea,96.8,0.5,0.5,96.3
Moore (AL),R,AL,Yea,96.8,0.5,0.5,96.3
Moore (NC),R,NC,Yea,96.8,0.5,0.5,96.3
Moore (UT),R,UT,Yea,96.8,0.5,0.5,96.3
Moore (WI),D,WI,Nay,96.8,0.5,0.5,96.3
Moore (WV),R,WV,Yea,96.8,0.5,0.5,96.3
Moran,R,TX,Yea,96.8,0.5,0.5,96.3
Morelle,D,NY,Nay,96.8,0.5,0.5,96.3
Morrison,D,MN,Nay,96.8,0.5,0.5,96.3
Moskowitz,D,FL,Nay,96.8,0.5,0.5,96.3
Moulton,D,MA,Nay,96.8,0.5,0.5,96.3
Mrvan,D,IN,Nay,96.8,0.5,0.5,96.3
Mullin,D,CA,Not Voting,96.8,0.5,0.5,96.3
Murphy,R,NC,Yea,96.8,0.5,0.5,96.3
Nadler,D,NY,Nay,96.8,0.5,0.5,96.3
Neal,D,MA,Nay,96.8,0.5,0.5,96.3
Neguse,D,CO,Nay,96.8,0.5,0.5,96.3
Nehls,R,TX,Yea,96.8,0.5,0.5,96.3
Newhouse,R,WA,Yea,96.8,0.5,0.5,96.3
Norcross,D,NJ,Nay,96.8,0.5,0.5,96.3
Norman,R,SC,Yea,96.8,0.5,0.5,96.3
Nunn (IA),R,IA,Yea,96.8,0.5,0.5,96.3
Obernolte,R,CA,Yea,96.8,0.5,0.5,96.3
Ocasio-Cortez,D,NY,Nay,96.8,0.5,0.5,96.3
Ogles,R,TN,Yea,96.8,0.5,0.5,96.3
Olszewski,D,MD,Nay,96.8,0.5,0.5,96.3
Omar,D,MN,Nay,96.8,0.5,0.5,96.3
Onder,R,MO,Yea,96.8,0.5,0.5,96.3
Owens,R,UT,Yea,96.8,0.5,0.5,96.3
Pallone,D,NJ,Nay,96.8,0.5,0.5,96.3
Palmer,R,AL,Yea,96.8,0.5,0.5,96.3
Panetta,D,CA,Nay,96.8,0.5,0.5,96.3
Pappas,D,NH,Nay,96.8,0.5,0.5,96.3
Pelosi,D,CA,Nay,96.8,0.5,0.5,96.3
Perez,D,WA,Nay,96.8,0.5,0.5,96.3
Perry,R,PA,Yea,96.8,0.5,0.5,96.3
